tx_id,customer_id,amount,timestamp,merchant,category,z_score,is_anomaly,name,age,city,account_type
a3c4fbec-6005-4d9e-9372-7c3f1ed0a105,747195,610.57,2026-01-04 20:33:37,Grupa Thomas,Food,-0.14976015502228687,False,Rafał Bojarczuk,61,Racibórz,Standard
97153e90-227a-4eb7-8322-8ad8e8169b51,856301,792.4,2026-01-26 16:33:55,Buczma-Semik Sp.k.,Travel,-0.14766195619816339,False,Marika Maciejczuk,45,Myszków,Gold
4016e49b-1587-48cf-a23d-89f9f82e7020,132677,272.79,2026-02-17 04:57:06,FPUH Ekert,Finance,-0.1536579144613917,False,Szymon Droździk,34,Tomaszów Mazowiecki,Premium
4f8aec97-7ec3-4a7a-8728-fe19ed901434,265445,2354.21,2026-03-26 09:03:08,Kopa S.A.,Food,-0.12963969416492185,False,pani Kalina Matulewicz,63,Gorlice,Standard
94c92942-a763-4cdd-b7aa-72e2fefeed95,926667,622.55,2026-02-28 01:41:02,Gabinety Soczówka i syn s.c.,Health,-0.14962191368745215,False,Oliwier Roszkiewicz,19,Łomża,Standard
139e6cbb-d15c-49ad-a71e-dc02597bd074,554999,1384.24,2026-02-24 16:29:41,Dzwonnik Sp. z o.o. Sp.k.,Tech,-0.1408325111557103,False,pani Julita Jaśkowiec,71,Łódź,Standard
c9d6db31-9ddd-4ed4-8f23-1f3f2a2ebded,400657,759.54,2026-02-22 20:27:02,Spółdzielnia Lica-Krochmal i syn s.c.,Finance,-0.1480411390247635,False,pan Nikodem Kunka,80,Zgorzelec,Premium
028f16c6-fb4e-4dfd-bf32-b1fc56e6d875,909036,1299.74,2026-02-18 01:40:15,Pusz-Kuświk Sp. z o.o.,Health,-0.14180758567937765,False,Borys Krzan,51,Pruszcz Gdański,Gold
e66d8cb9-cf52-4b62-98a2-d71ee23c91c1,803345,2634.06,2026-02-25 11:57:36,Szyda Sp.k.,Tech,-0.12641040889334426,False,Maciej Olbrych,45,Oleśnica,Premium
ece0af3e-ee61-4077-9a5a-3008ac461068,296806,2846.26,2026-03-19 12:39:38,Boba Sp. z o.o. Sp.k.,Finance,-0.12396176020787429,False,pan Konrad Trybała,40,Sochaczew,Gold
369857a8-3fcf-44c0-bf2e-06db361e3155,168215,3808.34,2026-03-26 22:51:06,Fundacja Smyl,Health,-0.1128599886371064,False,Kamila Kosno,73,Dąbrowa Górnicza,Gold
1d2173d0-2318-41cb-8c00-f9c1fc679a34,659383,4667.23,2026-01-20 03:08:52,Buchalik-Ochota Sp. z o.o.,Tech,-0.10294896191956023,False,pani Kornelia Wiraszka,36,Otwock,Premium
3e838223-5ea0-466c-9b26-6a93d9085f1f,248523,3088.52,2026-01-27 20:27:50,Witoń-Saj s.c.,Health,-0.1211662388575352,False,Dariusz Fidura,64,Brzeg,Premium
046b5ef6-8dfb-48a4-85f8-3b48e988d091,127635,1010.0,2026-02-13 23:15:42,Uziębło i syn s.c.,Travel,-0.1451509950579265,False,Maciej Młot,66,Otwock,Premium
49a28388-5677-421a-87a4-e55a886a4654,303329,1178.27,2026-01-03 11:04:25,FPUH Młocek,Food,-0.1432092697313288,False,pani Karina Pruchnik,77,Białogard,Premium
a4e0ae41-6bdc-47bb-abd7-e765fbaf877c,986492,695.06,2026-01-20 16:28:35,FPUH Wygoda-Kurc s.c.,Tech,-0.14878519589205427,False,Jerzy Trzpil,30,Dębica,Standard
e9e28f31-2ca8-44e2-a44d-b26f913d30e4,104849,3609.32,2026-02-17 20:18:24,Fundacja Chruszcz-Styrna Sp. z o.o.,Finance,-0.11515654877557122,False,Maksymilian Poczta,53,Zgorzelec,Gold
d87cfe54-9e1f-4a5f-83f1-09758d8c780c,993013,3951.1,2026-01-04 19:45:20,Fraszczyk s.c.,Travel,-0.11121263196256496,False,Emil Polnik,72,Katowice,Premium
9aea4c8b-9f42-4a44-ad38-22fb831b23c4,181925,2043.96,2026-04-01 23:03:34,Stowarzyszenie Drewa-Łacina Sp.j.,Finance,-0.13321977547815023,False,Natan Cich,21,Kościerzyna,Standard
895adae3-e69b-4e34-b338-88e8f390ff3d,299570,631.21,2026-02-16 11:30:18,Lulek-Łój Sp. z o.o. Sp.k.,Finance,-0.14952198297295557,False,Sara Flasza,72,Bochnia,Standard
b0a88bd5-7a6c-4f2f-8644-8c009c79f9a1,640088,1207.91,2026-01-20 11:14:32,,Food,-0.14286724359071934,False,Nikodem Hallmann,82,Kościerzyna,Standard
57f49423-87ba-4036-9510-f2f3cf074fc1,836436,4655.4,2026-03-29 12:33:12,Grupa Cieplucha Sp.k.,Tech,-0.10308547235287366,False,Kamila Boba,51,Świnoujście,Premium
